VALIDATION	0	100	219	8724	16462
VALIDATION	0	100	220	8758	12784
VALIDATION	0	100	221	8801	11416
VALIDATION	0	100	222	8836	13992
VALIDATION	0	100	223	8875	13130
VALIDATION	0	100	224	8916	13609
VALIDATION	0	100	225	8955	12764
VALIDATION	0	100	226	8998	13110
VALIDATION	0	100	227	9039	14814
VALIDATION	0	100	228	9077	13952
VALIDATION	0	100	229	9112	12736
VALIDATION	0	100	230	9154	12254
VALIDATION	0	100	231	9196	14058
VALIDATION	0	100	232	9239	15707
VALIDATION	0	100	233	9285	14442
VALIDATION	0	100	234	9330	13193
VALIDATION	0	100	235	9377	17033
VALIDATION	0	100	236	9412	14246
VALIDATION	0	100	237	9451	14402
VALIDATION	0	100	238	9489	12918
VALIDATION	0	100	239	9529	13705
VALIDATION	0	100	240	9560	13795
VALIDATION	0	100	241	9593	14736
VALIDATION	0	100	242	9630	15376
VALIDATION	0	100	243	9672	15447
VALIDATION	0	100	244	9713	17431
VALIDATION	0	100	245	9757	15163
VALIDATION	0	100	246	9798	13945
VALIDATION	0	100	247	9840	14081
VALIDATION	0	100	248	9890	13727
VALIDATION	0	100	249	9930	13664
VALIDATION	0	100	250	9978	13526
VALIDATION	0	100	251	10018	13408
VALIDATION	0	100	252	10051	14679
VALIDATION	0	100	253	10089	15643
VALIDATION	0	100	254	10125	20084
VALIDATION	0	100	255	10169	17568
VALIDATION	0	100	256	10213	16122
VALIDATION	0	100	257	10258	14120
VALIDATION	0	100	258	10287	15989
VALIDATION	0	100	259	10334	15992
VALIDATION	0	100	260	10382	15079
VALIDATION	0	100	261	10437	16579
VALIDATION	0	100	262	10471	18179
VALIDATION	0	100	263	10508	18967
VALIDATION	0	100	264	10549	23305
VALIDATION	0	100	265	10589	19936
VALIDATION	0	100	266	10628	16316
VALIDATION	0	100	267	10662	18062
VALIDATION	0	100	268	10701	17740
VALIDATION	0	100	269	10751	17988
VALIDATION	0	100	270	10797	17670
VALIDATION	0	100	271	10832	19033
VALIDATION	0	100	272	10870	19952
VALIDATION	0	100	273	10902	28974
VALIDATION	0	100	274	10941	30071
VALIDATION	0	100	275	10982	24193
VALIDATION	0	100	276	11020	23127
VALIDATION	0	100	277	11053	16392
VALIDATION	0	100	278	11093	17912
VALIDATION	0	100	279	11127	16563
VALIDATION	0	100	280	11168	15598
VALIDATION	0	100	281	11203	15724
VALIDATION	0	100	282	11242	15448
VALIDATION	0	100	283	11279	15738
VALIDATION	0	100	284	11315	15743
VALIDATION	0	100	285	11358	16152
VALIDATION	0	100	286	11401	16074
VALIDATION	0	100	287	11446	15931
VALIDATION	0	100	288	11485	16256
VALIDATION	0	100	289	11530	16330
VALIDATION	0	100	290	11572	16368
VALIDATION	0	100	291	11610	16405
VALIDATION	0	100	292	11648	16259
VALIDATION	0	100	293	11683	17154
VALIDATION	0	100	294	11728	16536
VALIDATION	0	100	295	11764	16815
VALIDATION	0	100	296	11806	16720
VALIDATION	0	100	297	11853	16799
VALIDATION	0	100	298	11892	17767
VALIDATION	0	100	299	11927	19356
VALIDATION	0	100	300	11967	19650
VALIDATION	0	100	301	12005	19475
VALIDATION	0	100	302	12049	19053
VALIDATION	0	100	303	12088	19691
VALIDATION	0	100	304	12124	17157
VALIDATION	0	100	305	12168	21065
VALIDATION	0	100	306	12212	21112
VALIDATION	0	100	307	12255	19021
VALIDATION	0	100	308	12290	19290
